File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000YOR	fastq	reads	ENCSR000FAZ	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens	interferon alpha				MYC-human	ENCAB000AET	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	27		single-ended				335087508	Sherman Weissman, Yale	c2d8e61846e50f012fdd159011913e18		https://www.encodeproject.org/files/ENCFF000YOR/@@download/ENCFF000YOR.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YOV/	released	control low read depth, borderline replicate concordance	biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF000YOT	fastq	reads	ENCSR000FAZ	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens	interferon alpha				MYC-human	ENCAB000AET	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	27		single-ended				570318180	Sherman Weissman, Yale	7ee2d73df4b042bd396438a00e99a228		https://www.encodeproject.org/files/ENCFF000YOT/@@download/ENCFF000YOT.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YOV/	released	control low read depth, borderline replicate concordance	biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF000YXN	fastq	reads	ENCSR000EHL	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					POLR2A-human	ENCAB000AOC	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	28		single-ended				551576863	Michael Snyder, Stanford	dc7255a29ff2a38a6d9bafd6c858d71e		https://www.encodeproject.org/files/ENCFF000YXN/@@download/ENCFF000YXN.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YQC/	released	inconsistent target of control experiment	biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF000YXO	fastq	reads	ENCSR000EHL	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					POLR2A-human	ENCAB000AOC	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	28		single-ended				505279803	Michael Snyder, Stanford	cf1119371807c0eb9add16373a637d9f		https://www.encodeproject.org/files/ENCFF000YXO/@@download/ENCFF000YXO.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YQB/	released	inconsistent target of control experiment	biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF000XMS	fastq	reads	ENCSR000EDD	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens					TBP-human	ENCAB000ALR	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				928565002	Michael Snyder, Stanford	d7be39fb42f6d217e7b080f776bd91da		https://www.encodeproject.org/files/ENCFF000XMS/@@download/ENCFF000XMS.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XKW/	released	inconsistent control read length, low read length	biological replicates with identical biosample		
ENCFF000XMT	fastq	reads	ENCSR000EDD	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens					TBP-human	ENCAB000ALR	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				1027463295	Michael Snyder, Stanford	ef8b1c2df525e88473d1ef55f5fff19e		https://www.encodeproject.org/files/ENCFF000XMT/@@download/ENCFF000XMT.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XKW/	released	inconsistent control read length, low read length	biological replicates with identical biosample		
ENCFF000REP	fastq	reads	ENCSR000BTZ	ChIP-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens					USF1-human	ENCAB000AMF	DNA		see document	see document		False	2012-09-10	ENCODE				2	1	50		single-ended				1280390029	Richard Myers, HAIB	8341aa56c1f72bbe031385e51a2ed3ca		https://www.encodeproject.org/files/ENCFF000REP/@@download/ENCFF000REP.fastq.gz		HiSeq 2000	/files/ENCFF000RCP/	released		biological replicates with identical biosample		
ENCFF000RER	fastq	reads	ENCSR000BTZ	ChIP-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens					USF1-human	ENCAB000AMF	DNA		see document	see document		False	2012-09-10	ENCODE				1	1	50		single-ended				1457554570	Richard Myers, HAIB	ee437b288dea1efd7fd22a8c5b61af9d		https://www.encodeproject.org/files/ENCFF000RER/@@download/ENCFF000RER.fastq.gz		HiSeq 2000	/files/ENCFF000RCM/	released		biological replicates with identical biosample		
ENCFF000OGC	fastq	reads	ENCSR000BGS	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					TAF1-human	ENCAB000ALM	DNA		see document	see document		False	2011-07-18	ENCODE				1	1	36		single-ended				753030876	Richard Myers, HAIB	29a0cf661050a49283a6613cc2208469		https://www.encodeproject.org/files/ENCFF000OGC/@@download/ENCFF000OGC.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000OCW/	released	low read depth, mild to moderate bottlenecking, borderline replicate concordance, low read length	biological replicates with identical biosample		
ENCFF000OGH	fastq	reads	ENCSR000BGS	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					TAF1-human	ENCAB000ALM	DNA		see document	see document		False	2011-07-18	ENCODE				2	1	36		single-ended				1022932272	Richard Myers, HAIB	49c307b2f0e07072aee60541e02142f4		https://www.encodeproject.org/files/ENCFF000OGH/@@download/ENCFF000OGH.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000OCW/	released	low read depth, mild to moderate bottlenecking, borderline replicate concordance, low read length	biological replicates with identical biosample		
ENCFF000PSA	fastq	reads	ENCSR000BGM	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens					USF1-human	ENCAB000AMF	DNA		see document	see document		False	2011-07-18	ENCODE				1	1	36		single-ended				1615513199	Richard Myers, HAIB	9a40f3eedbbfe35b39b8e68de0885499		https://www.encodeproject.org/files/ENCFF000PSA/@@download/ENCFF000PSA.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000POC/	released	low read depth, control low read depth, mild to moderate bottlenecking, borderline replicate concordance, low read length	biological replicates with identical biosample		
ENCFF000PSH	fastq	reads	ENCSR000BGM	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens					USF1-human	ENCAB000AMF	DNA		see document	see document		False	2011-07-18	ENCODE				2	1	36		single-ended				2076369288	Richard Myers, HAIB	512cb159153af83dd17a9f6d9d330050		https://www.encodeproject.org/files/ENCFF000PSH/@@download/ENCFF000PSH.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000POH/	released	low read depth, control low read depth, mild to moderate bottlenecking, borderline replicate concordance, low read length	biological replicates with identical biosample		
ENCFF409ZVI	fastq	reads	ENCSR356YXW	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				HES2-human	ENCAB260QVN	DNA				formaldehyde	False	2016-10-27	GGR				2	1	51		single-ended				564051236	Tim Reddy, Duke	f485c2cef28f0a6ed0e0bbfa66e8bde9	SRA:SRR5093431	https://www.encodeproject.org/files/ENCFF409ZVI/@@download/ENCFF409ZVI.fastq.gz		HiSeq 2000	/files/ENCFF759SMG/	released		mismatched file status		
ENCFF585KHC	fastq	reads	ENCSR356YXW	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				HES2-human	ENCAB260QVN	DNA				formaldehyde	False	2016-10-27	GGR				1	1	51		single-ended				647630666	Tim Reddy, Duke	6e2bc9da8f0658bf63c3be96bebc1582	SRA:SRR5093430	https://www.encodeproject.org/files/ENCFF585KHC/@@download/ENCFF585KHC.fastq.gz		HiSeq 2000	/files/ENCFF989IQK/	released		mismatched file status		
ENCFF739PFA	fastq	reads	ENCSR356YXW	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				HES2-human	ENCAB260QVN	DNA				formaldehyde	False	2016-10-27	GGR				3	1	51		single-ended				690457970	Tim Reddy, Duke	bda2aeb74c589375e23dce6d0cec213b	SRA:SRR5093429	https://www.encodeproject.org/files/ENCFF739PFA/@@download/ENCFF739PFA.fastq.gz		HiSeq 2000	/files/ENCFF697YMQ/	released		mismatched file status		
ENCFF887BKA	fastq	reads	ENCSR372GIN	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CBX5-human	ENCAB150NID	DNA					False	2016-10-27	ENCODE				1	1	50		single-ended				2281198254	Richard Myers, HAIB	9bd13a544349ee81954aa27252608855	SRA:SRR5338649	https://www.encodeproject.org/files/ENCFF887BKA/@@download/ENCFF887BKA.fastq.gz		HiSeq 2000	/files/ENCFF000OEB/	released	low read depth, moderate library complexity, control low read depth, mild to moderate bottlenecking, inconsistent platforms			
ENCFF354VZR	fastq	reads	ENCSR372GIN	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CBX5-human	ENCAB150NID	DNA					False	2016-10-27	ENCODE				2	1	50		single-ended				1747145757	Richard Myers, HAIB	2ad82ac441df32f657ffeeaa693df0de	SRA:SRR5338648	https://www.encodeproject.org/files/ENCFF354VZR/@@download/ENCFF354VZR.fastq.gz		HiSeq 2000	/files/ENCFF000ODZ/	released	low read depth, moderate library complexity, control low read depth, mild to moderate bottlenecking, inconsistent platforms			
ENCFF546YEQ	fastq	reads	ENCSR613NUC	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					ARNT-human	ENCAB608UKB	DNA					False	2016-12-19	ENCODE				1	1	100		paired-ended	1	ENCFF446XHP		3046050348	Michael Snyder, Stanford	01134128bef3f8d95d855971de0ae5b8		https://www.encodeproject.org/files/ENCFF546YEQ/@@download/ENCFF546YEQ.fastq.gz		HiSeq 2000	/files/ENCFF002EFF/	released		missing unfiltered alignments, experiment not submitted to GEO		
ENCFF382GYA	fastq	reads	ENCSR613NUC	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					ARNT-human	ENCAB608UKB	DNA					False	2016-12-19	ENCODE				2	1	100		paired-ended	2	ENCFF841ZHV		2443414899	Michael Snyder, Stanford	1b35a2dd374036a977f066b49ff2d05e		https://www.encodeproject.org/files/ENCFF382GYA/@@download/ENCFF382GYA.fastq.gz		HiSeq 2000	/files/ENCFF002EFA/	released		missing unfiltered alignments, experiment not submitted to GEO		
ENCFF446XHP	fastq	reads	ENCSR613NUC	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					ARNT-human	ENCAB608UKB	DNA					False	2016-12-19	ENCODE				1	1	100		paired-ended	2	ENCFF546YEQ		3137802665	Michael Snyder, Stanford	d624af74e703a428301c3858d8ec94a2		https://www.encodeproject.org/files/ENCFF446XHP/@@download/ENCFF446XHP.fastq.gz		HiSeq 2000	/files/ENCFF002EFH/	released		missing unfiltered alignments, experiment not submitted to GEO		
ENCFF841ZHV	fastq	reads	ENCSR613NUC	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					ARNT-human	ENCAB608UKB	DNA					False	2016-12-19	ENCODE				2	1	100		paired-ended	1	ENCFF382GYA		2388641303	Michael Snyder, Stanford	7e62c17ccb93fb8191d98c757913b5d4		https://www.encodeproject.org/files/ENCFF841ZHV/@@download/ENCFF841ZHV.fastq.gz		HiSeq 2000	/files/ENCFF002EFD/	released		missing unfiltered alignments, experiment not submitted to GEO		
ENCFF000WQT	fastq	reads	ENCSR000EBX	ChIP-seq	EFO:0003042	H1-hESC	stem cell	embryonic	male	unknown	Homo sapiens					BRCA1-human	ENCAB125OWA	DNA		see document	see document		False	2012-05-14	ENCODE				1	1	36		single-ended				1327935540	Michael Snyder, Stanford	7e47b9b464a4683d77f681ae8a5be697		https://www.encodeproject.org/files/ENCFF000WQT/@@download/ENCFF000WQT.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000WUI/	released	low read depth, inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF000WQV	fastq	reads	ENCSR000EBX	ChIP-seq	EFO:0003042	H1-hESC	stem cell	embryonic	male	unknown	Homo sapiens					BRCA1-human	ENCAB125OWA	DNA		see document	see document		False	2012-05-14	ENCODE				2	1	36		single-ended				945807425	Michael Snyder, Stanford	8148ea517829880a92fcc1749922c3e0		https://www.encodeproject.org/files/ENCFF000WQV/@@download/ENCFF000WQV.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000WUI/	released	low read depth, inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF000YSQ	fastq	reads	ENCSR000EGI	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					MAFF-human	ENCAB717EYF	DNA		see document	see document		False	2012-05-14	ENCODE				1	1	36		single-ended				1118378113	Michael Snyder, Stanford	2514d403b65428e724796a890cba24cf		https://www.encodeproject.org/files/ENCFF000YSQ/@@download/ENCFF000YSQ.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YRB/	released	low read depth, inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF000YSS	fastq	reads	ENCSR000EGI	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					MAFF-human	ENCAB717EYF	DNA		see document	see document		False	2012-05-14	ENCODE				2	1	36		single-ended				967626039	Michael Snyder, Stanford	b1e8606086185e1d0759e0158d008033		https://www.encodeproject.org/files/ENCFF000YSS/@@download/ENCFF000YSS.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YRB/	released	low read depth, inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF240REY	fastq	reads	ENCSR669LCD	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens					FLAG-ATF4-human	ENCAB697XQW	DNA					False	2016-06-14	ENCODE				1	1	50		single-ended				1392864712	Richard Myers, HAIB	c94d48b4bad3aa0a64bb3587e52e847a	SRA:SRR5339110	https://www.encodeproject.org/files/ENCFF240REY/@@download/ENCFF240REY.fastq.gz		HiSeq 2000	/files/ENCFF147CMT/	released	low read depth, antibody characterized with exemption	inconsistent modification tag, missing mapped reads lengths, missing unfiltered alignments		
ENCFF444RSD	fastq	reads	ENCSR669LCD	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens					FLAG-ATF4-human	ENCAB697XQW	DNA					False	2016-06-14	ENCODE				2	1	50		single-ended				836254233	Richard Myers, HAIB	5537d47325c1e0b6ec89c1b70bf601ce	SRA:SRR5339111	https://www.encodeproject.org/files/ENCFF444RSD/@@download/ENCFF444RSD.fastq.gz		HiSeq 2000	/files/ENCFF147CMT/	released	low read depth, antibody characterized with exemption	inconsistent modification tag, missing mapped reads lengths, missing unfiltered alignments		
ENCFF192LSU	fastq	reads	ENCSR019WUS	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF10-human	ENCAB976SGG, ENCAB615WUN	DNA				formaldehyde	False	2017-04-06	ENCODE				1	1	101		paired-ended	1	ENCFF261LTR		2476162932	Michael Snyder, Stanford	dbc831b8077f924902bc5d29a6e11212		https://www.encodeproject.org/files/ENCFF192LSU/@@download/ENCFF192LSU.fastq.gz		HiSeq 2000	/files/ENCFF050IAV/, /files/ENCFF055BVM/, /files/ENCFF069TUA/, /files/ENCFF153HYB/, /files/ENCFF259QKU/, /files/ENCFF342YBR/, /files/ENCFF354EZU/, /files/ENCFF370DYU/, /files/ENCFF427XVX/, /files/ENCFF458QHC/, /files/ENCFF534SCD/, /files/ENCFF547QSE/, /files/ENCFF612YLD/, /files/ENCFF642NHF/, /files/ENCFF643OCI/, /files/ENCFF643PJM/, /files/ENCFF660NKL/, /files/ENCFF668LQF/, /files/ENCFF696OLX/, /files/ENCFF769KWF/, /files/ENCFF794JUL/, /files/ENCFF873ZZU/, /files/ENCFF878ZVK/, /files/ENCFF881MQW/	released		experiment not submitted to GEO		
ENCFF233DTH	fastq	reads	ENCSR019WUS	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF10-human	ENCAB976SGG, ENCAB615WUN	DNA				formaldehyde	False	2017-04-06	ENCODE				2	1	101		paired-ended	1	ENCFF650VLS		4247147208	Michael Snyder, Stanford	a531830b9d31ee18cc5fe6fa21169eb0		https://www.encodeproject.org/files/ENCFF233DTH/@@download/ENCFF233DTH.fastq.gz		HiSeq 2000	/files/ENCFF050IAV/, /files/ENCFF055BVM/, /files/ENCFF069TUA/, /files/ENCFF153HYB/, /files/ENCFF259QKU/, /files/ENCFF342YBR/, /files/ENCFF354EZU/, /files/ENCFF370DYU/, /files/ENCFF427XVX/, /files/ENCFF458QHC/, /files/ENCFF534SCD/, /files/ENCFF547QSE/, /files/ENCFF612YLD/, /files/ENCFF642NHF/, /files/ENCFF643OCI/, /files/ENCFF643PJM/, /files/ENCFF660NKL/, /files/ENCFF668LQF/, /files/ENCFF696OLX/, /files/ENCFF769KWF/, /files/ENCFF794JUL/, /files/ENCFF873ZZU/, /files/ENCFF878ZVK/, /files/ENCFF881MQW/	released		experiment not submitted to GEO		
ENCFF261LTR	fastq	reads	ENCSR019WUS	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF10-human	ENCAB976SGG, ENCAB615WUN	DNA				formaldehyde	False	2017-04-06	ENCODE				1	1	101		paired-ended	2	ENCFF192LSU		2575483992	Michael Snyder, Stanford	961e6eb278dde716a05e15cd2ad01721		https://www.encodeproject.org/files/ENCFF261LTR/@@download/ENCFF261LTR.fastq.gz		HiSeq 2000	/files/ENCFF010LOC/, /files/ENCFF089HUB/, /files/ENCFF169WOT/, /files/ENCFF184SBV/, /files/ENCFF212MYS/, /files/ENCFF231MWC/, /files/ENCFF247VVB/, /files/ENCFF256KTI/, /files/ENCFF327UHP/, /files/ENCFF374JTH/, /files/ENCFF437BSD/, /files/ENCFF446ZHN/, /files/ENCFF485UTC/, /files/ENCFF502LCH/, /files/ENCFF570XLQ/, /files/ENCFF611URR/, /files/ENCFF674OUR/, /files/ENCFF696JSC/, /files/ENCFF793FGU/, /files/ENCFF804THN/, /files/ENCFF806BJB/, /files/ENCFF825GYY/, /files/ENCFF886JJC/, /files/ENCFF967IDB/	released		experiment not submitted to GEO		
ENCFF650VLS	fastq	reads	ENCSR019WUS	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF10-human	ENCAB976SGG, ENCAB615WUN	DNA				formaldehyde	False	2017-04-06	ENCODE				2	1	101		paired-ended	2	ENCFF233DTH		4293618529	Michael Snyder, Stanford	aa478f288754a1d5b7a01dd528148e1a		https://www.encodeproject.org/files/ENCFF650VLS/@@download/ENCFF650VLS.fastq.gz		HiSeq 2000	/files/ENCFF010LOC/, /files/ENCFF089HUB/, /files/ENCFF169WOT/, /files/ENCFF184SBV/, /files/ENCFF212MYS/, /files/ENCFF231MWC/, /files/ENCFF247VVB/, /files/ENCFF256KTI/, /files/ENCFF327UHP/, /files/ENCFF374JTH/, /files/ENCFF437BSD/, /files/ENCFF446ZHN/, /files/ENCFF485UTC/, /files/ENCFF502LCH/, /files/ENCFF570XLQ/, /files/ENCFF611URR/, /files/ENCFF674OUR/, /files/ENCFF696JSC/, /files/ENCFF793FGU/, /files/ENCFF804THN/, /files/ENCFF806BJB/, /files/ENCFF825GYY/, /files/ENCFF886JJC/, /files/ENCFF967IDB/	released		experiment not submitted to GEO		
ENCFF000YDG	fastq	reads	ENCSR000EFF	ChIP-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens					MAZ-human	ENCAB000AIM	DNA		see document	see document		False	2012-08-20	ENCODE				1	1	36		single-ended				1163217545	Michael Snyder, Stanford	468b2af38fa1f84146b07b395b0ea598		https://www.encodeproject.org/files/ENCFF000YDG/@@download/ENCFF000YDG.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YCQ/	released	low read length, low read depth, moderate library complexity, mild to moderate bottlenecking, inconsistent target of control experiment, borderline replicate concordance	biological replicates with identical biosample, NTR biosample		
ENCFF000YDI	fastq	reads	ENCSR000EFF	ChIP-seq	NTR:0004647	IMR-90	primary cell	embryonic	female	16 week	Homo sapiens					MAZ-human	ENCAB000AIM	DNA		see document	see document		False	2012-08-20	ENCODE				2	1	36		single-ended				1038793949	Michael Snyder, Stanford	ab271c910d7309934edddd67194f0cc8		https://www.encodeproject.org/files/ENCFF000YDI/@@download/ENCFF000YDI.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YCS/	released	low read length, low read depth, moderate library complexity, mild to moderate bottlenecking, inconsistent target of control experiment, borderline replicate concordance	biological replicates with identical biosample, NTR biosample		
ENCFF813LLQ	fastq	reads	ENCSR569SZK	ChIP-seq	UBERON:0001323	tibial nerve	tissue	adult	female	51 year	Homo sapiens					EP300-human	ENCAB284TTY	DNA		see document		formaldehyde	False	2017-06-15	ENCODE				1	1	76		paired-ended	1	ENCFF742HCJ		1863191915	Richard Myers, HAIB	4c74b6145375d2ae8f6a87e7b9be31de		https://www.encodeproject.org/files/ENCFF813LLQ/@@download/ENCFF813LLQ.fastq.gz		HiSeq 2000	/files/ENCFF126ZEQ/	released	mild to moderate bottlenecking, antibody characterized with exemption	experiment not submitted to GEO		
ENCFF742HCJ	fastq	reads	ENCSR569SZK	ChIP-seq	UBERON:0001323	tibial nerve	tissue	adult	female	51 year	Homo sapiens					EP300-human	ENCAB284TTY	DNA		see document		formaldehyde	False	2017-06-15	ENCODE				1	1	76		paired-ended	2	ENCFF813LLQ		1958325529	Richard Myers, HAIB	811b1e42fff3eb4dc2b1fd2e257c301a		https://www.encodeproject.org/files/ENCFF742HCJ/@@download/ENCFF742HCJ.fastq.gz		HiSeq 2000	/files/ENCFF931XXU/	released	mild to moderate bottlenecking, antibody characterized with exemption	experiment not submitted to GEO		
ENCFF000QUV	fastq	reads	ENCSR000BJP	ChIP-seq	EFO:0005234	PFSK-1	immortalized cell line	child	male	22 month	Homo sapiens					REST-human	ENCAB000AJK	DNA		see document	see document		False	2011-07-18	ENCODE				1	1	36		single-ended				1243927137	Richard Myers, HAIB	fae0cb4322c4a3c095fd40e54dac7a73		https://www.encodeproject.org/files/ENCFF000QUV/@@download/ENCFF000QUV.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000QVO/	released	low read depth, control low read depth, inconsistent platforms, inconsistent control read length, low read length	biological replicates with identical biosample	control low read depth, insufficient read depth	
ENCFF000QUX	fastq	reads	ENCSR000BJP	ChIP-seq	EFO:0005234	PFSK-1	immortalized cell line	child	male	22 month	Homo sapiens					REST-human	ENCAB000AJK	DNA		see document	see document		False	2011-07-18	ENCODE				2	1	36		single-ended				1143906186	Richard Myers, HAIB	93f49bd4b9f393bc398f13d9fd390055		https://www.encodeproject.org/files/ENCFF000QUX/@@download/ENCFF000QUX.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000QVV/	released	low read depth, control low read depth, inconsistent platforms, low read length	biological replicates with identical biosample	control low read depth, insufficient read depth	
ENCFF000ZNX	fastq	reads	ENCSR000EXL	ChIP-seq	EFO:0002713	Panc1	immortalized cell line	unknown	male	56 year	Homo sapiens					TCF7L2-human	ENCAB000AOA	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				623172039	Peggy Farnham, USC	4ac331ad31cd9a8f200eb86949161bf6		https://www.encodeproject.org/files/ENCFF000ZNX/@@download/ENCFF000ZNX.fastq.gz		Illumina Genome Analyzer II	/files/ENCFF000VJK/	released	low read depth, inconsistent platforms, mild to moderate bottlenecking, low read length	biological replicates with identical biosample		
ENCFF000ZNZ	fastq	reads	ENCSR000EXL	ChIP-seq	EFO:0002713	Panc1	immortalized cell line	unknown	male	56 year	Homo sapiens					TCF7L2-human	ENCAB000AOA	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				854576679	Peggy Farnham, USC	7ef25f23cd63de0dc20655cb02f2d1f5		https://www.encodeproject.org/files/ENCFF000ZNZ/@@download/ENCFF000ZNZ.fastq.gz		Illumina Genome Analyzer II	/files/ENCFF000VJK/	released	low read depth, inconsistent platforms, mild to moderate bottlenecking, low read length	biological replicates with identical biosample		
ENCFF001HKU	fastq	reads	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				1	1	36		single-ended				678301714	John Stamatoyannopoulos, UW	37882a14041fd35eadeec85c36f8fe4e		https://www.encodeproject.org/files/ENCFF001HKU/@@download/ENCFF001HKU.fastq.gz		Illumina Genome Analyzer	/files/ENCFF001HLJ/	released	low read depth, mild to moderate bottlenecking, low read length			
ENCFF001HKV	fastq	reads	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				2	1	36		single-ended				909309847	John Stamatoyannopoulos, UW	eb7e1d190c4806d7373d87a8e35f12cc		https://www.encodeproject.org/files/ENCFF001HKV/@@download/ENCFF001HKV.fastq.gz		Illumina Genome Analyzer	/files/ENCFF001HLJ/	released	low read depth, mild to moderate bottlenecking, low read length			
ENCFF000WXH	fastq	reads	ENCSR000EUV	ChIP-seq	EFO:0002824	HCT116	immortalized cell line	adult	male	unknown	Homo sapiens					TCF7L2-human	ENCAB000AOA	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	32		single-ended				361081298	Peggy Farnham, USC	a2c2f1f6b80336dc6c33b899ba6c9495		https://www.encodeproject.org/files/ENCFF000WXH/@@download/ENCFF000WXH.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000VCW/, /files/ENCFF000VCY/	released	inconsistent platforms, borderline replicate concordance, inconsistent control read length	biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF000WXJ	fastq	reads	ENCSR000EUV	ChIP-seq	EFO:0002824	HCT116	immortalized cell line	adult	male	unknown	Homo sapiens					TCF7L2-human	ENCAB000AOA	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	32		single-ended				191657533	Peggy Farnham, USC	2f66ec99b251c1e844c786cfc8b85d5a		https://www.encodeproject.org/files/ENCFF000WXJ/@@download/ENCFF000WXJ.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000VCW/, /files/ENCFF000VCY/	released	inconsistent platforms, borderline replicate concordance, inconsistent control read length	biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF501XST	fastq	reads	ENCSR210ZYL	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens					NBN-human	ENCAB000BMB	DNA					False	2017-05-18	ENCODE				3	1	100		paired-ended	1	ENCFF563CUE		4058129787	Michael Snyder, Stanford	92ccee6699d45a5b961ea16a5cb03d9f		https://www.encodeproject.org/files/ENCFF501XST/@@download/ENCFF501XST.fastq.gz		HiSeq 2000	/files/ENCFF002EFB/	released	borderline replicate concordance	missing unfiltered alignments, experiment not submitted to GEO		
